"Name","Source","Level","Casting Time","Duration","School","Range","Components","Classes","Text","At Higher Levels"
"Haste","PHB","3rd","Action","Concentration, up to 1 minute","Transmutation","30 feet","V, S, M (a shaving of licorice root)","Artificer, Artificer, Artificer (Revisited), Sorcerer, Wizard","Choose a willing creature that you can see within range. Until the spell ends, the target's speed is doubled, it gains a +2 bonus to AC, it has advantage on Dexterity saving throws, and it gains an additional action on each of its turns. That action can be used only to take the Attack (one weapon attack only), Dash, Disengage, Hide, or Use an Object action.When the spell ends, the target can't move or take actions until after its next turn, as a wave of lethargy sweeps over it.",""
"Heat Metal","PHB","2nd","Action","Concentration, up to 1 minute","Transmutation","60 feet","V, S, M (a piece of iron and a flame)","Artificer, Artificer (Revisited), Bard, Druid","Choose a manufactured metal object, such as a metal weapon or a suit of heavy or medium metal armor, that you can see within range. You cause the object to glow red-hot. Any creature in physical contact with the object takes 2d8 fire damage when you cast the spell. Until the spell ends, you can use a bonus action on each of your subsequent turns to cause this damage again.If a creature is holding or wearing the object and takes the damage from it, the creature must succeed on a Constitution saving throw or drop the object if it can. If it doesn't drop the object, it has disadvantage on attack rolls and ability checks until the start of your next turn.","At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, the damage increases by 1d8 for each slot level above 2nd."
"Identify","PHB","1st","1 Minute","Instantaneous","Divination","Touch","V, S, M (a pearl worth at least 100 gp and an owl feather)","Artificer, Artificer (Revisited), Bard, Wizard","You choose one object that you must touch throughout the casting of the spell. If it is a magic item or some other magic-imbued object, you learn its properties and how to use them, whether it requires attunement to use, and how many charges it has, if any. You learn whether any spells are affecting the item and what they are. If the item was created by a spell, you learn which spell created it.If you instead touch a creature throughout the casting, you learn what spells, if any, are currently affecting it.",""
"Invisibility","PHB","2nd","Action","Concentration, up to 1 hour","Illusion","Touch","V, S, M (an eyelash encased in gum arabic)","Artificer, Artificer, Artificer (Revisited), Bard, Sorcerer, Warlock, Wizard","A creature you touch becomes invisible until the spell ends. Anything the target is wearing or carrying is invisible as long as it is on the target's person. The spell ends for a target that attacks or casts a spell.","At Higher Levels. When you cast this spell using a spell slot of 3rd level or higher, you can target one additional creature for each slot level above 2nd."
"Jump","PHB","1st","Action","1 minute","Transmutation","Touch","V, S, M (a grasshopper's hind leg)","Artificer, Artificer, Artificer (Revisited), Druid, Ranger, Sorcerer, Wizard","You touch a creature. The creature's jump distance is tripled until the spell ends.",""
"Leomund's Secret Chest","PHB","4th","Action","Instantaneous","Conjuration","Touch","V, S, M (an exquisite chest, 3 feet by 2 feet by 2 feet, constructed from rare materials worth at least 5,000 gp, and a Tiny replica made from the same materials worth at least 50 gp)","Artificer, Artificer, Artificer (Revisited), Wizard","You hide a chest, and all its contents, on the Ethereal Plane. You must touch the chest and the miniature replica that serves as a material component for the spell. The chest can contain up to 12 cubic feet of nonliving material (3 feet by 2 feet by 2 feet).While the chest remains on the Ethereal Plane, you can use an action and touch the replica to recall the chest. It appears in an unoccupied space on the ground within 5 feet of you. You can send the chest back to the Ethereal Plane by using an action and touching both the chest and the replica.After 60 days, there is a cumulative 5 percent chance per day that the spell's effect ends. This effect ends if you cast this spell again, if the smaller replica chest is destroyed, or if you choose to end the spell as an action. If the spell ends and the larger chest is on the Ethereal Plane, it is irretrievably lost.",""
"Lesser Restoration","PHB","2nd","Action","Instantaneous","Abjuration","Touch","V, S","Artificer, Artificer, Artificer (Revisited), Bard, Cleric, Druid, Paladin, Ranger","You touch a creature and can end either one disease or one condition afflicting it. The condition can be blinded, deafened, paralyzed, or poisoned.",""
"Levitate","PHB","2nd","Action","Concentration, up to 10 minutes","Transmutation","60 feet","V, S, M (either a small leather loop or a piece of golden wire bent into a cup shape with a long shank on one end)","Artificer, Artificer (Revisited), Sorcerer, Wizard","One creature or loose object of your choice that you can see within range rises vertically, up to 20 feet, and remains suspended there for the duration. The spell can levitate a target that weighs up to 500 pounds. An unwilling creature that succeeds on a Constitution saving throw is unaffected.The target can move only by pushing or pulling against a fixed object or surface within reach (such as a wall or a ceiling), which allows it to move as if it were climbing. You can change the target's altitude by up to 20 feet in either direction on your turn. If you are the target, you can move up or down as part of your move. Otherwise, you can use your action to move the target, which must remain within the spell's range.When the spell ends, the target floats gently to the ground if it is still aloft.",""
"Light","PHB","Cantrip","Action","1 hour","Evocation","Touch","V, M (a firefly or phosphorescent moss)","Artificer, Artificer (Revisited), Bard, Cleric, Sorcerer, Wizard","You touch one object that is no larger than 10 feet in any dimension. Until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action.If you target an object held or worn by a hostile creature, that creature must succeed on a Dexterity saving throw to avoid the spell.",""
"Longstrider","PHB","1st","Action","1 hour","Transmutation","Touch","V, S, M (a pinch of dirt)","Artificer, Artificer, Artificer (Revisited), Bard, Druid, Ranger, Wizard","You touch a creature. The target's speed increases by 10 feet until the spell ends.","At Higher Levels. When you cast this spell using a spell slot of 2nd level or higher, you can target one additional creature for each slot level above 1st."
"Mage Hand","PHB","Cantrip","Action","1 minute","Conjuration","30 feet","V, S","Artificer, Artificer (Revisited), Bard, Sorcerer, Warlock, Wizard","A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again.You can use your action to control the hand. You can use the hand to manipulate an object, open an unlocked door or container, stow or retrieve an item from an open container, or pour the contents out of a vial. You can move the hand up to 30 feet each time you use it.The hand can't attack, activate magic items, or carry more than 10 pounds.",""
"Magic Mouth","PHB","2nd","1 Minute","Until dispelled","Illusion","30 feet","V, S, M (a small bit of honeycomb and jade dust worth at least 10 gp, which the spell consumes)","Artificer, Artificer (Revisited), Bard, Wizard","You implant a message within an object in range, a message that is uttered when a trigger condition is met. Choose an object that you can see and that isn't being worn or carried by another creature. Then speak the message, which must be 25 words or less, though it can be delivered over as long as 10 minutes. Finally, determine the circumstance that will trigger the spell to deliver your message.When that circumstance occurs, a magical mouth appears on the object and recites the message in your voice and at the same volume you spoke. If the object you chose has a mouth or something that looks like a mouth (for example, the mouth of a statue), the magical mouth appears there so that the words appear to come from the object's mouth. When you cast this spell, you can have the spell end after it delivers its message, or it can remain and repeat its message whenever the trigger occurs.The triggering circumstance can be as general or as detailed as you like, though it must be based on visual or audible conditions that occur within 30 feet of the object. For example, you could instruct the mouth to speak when any creature moves within 30 feet of the object or when a silver bell rings within 30 feet of it.",""
"Magic Stone","XGE","Cantrip","Bonus acn.","1 minute","Transmutation","Touch","V, S","Artificer, Artificer (Revisited), Druid, Warlock","You touch one to three pebbles and imbue them with magic. You or someone else can make a ranged spell attack with one of the pebbles by throwing it or hurling it with a sling. If thrown, a pebble has a range of 60 feet. If someone else attacks with a pebble, that attacker adds your spellcasting ability modifier, not the attacker's, to the attack roll. On a hit, the target takes bludgeoning damage equal to 1d6 + your spellcasting ability modifier. Whether the attack hits or misses, the spell then ends on the stone.If you cast this spell again, the spell ends on any pebbles still affected by your previous casting.",""
"Magic Weapon","PHB","2nd","Bonus acn.","Concentration, up to 1 hour","Transmutation","Touch","V, S","Artificer, Artificer, Artificer (Revisited), Paladin, Wizard","You touch a nonmagical weapon. Until the spell ends, that weapon becomes a magic weapon with a +1 bonus to attack rolls and damage rolls.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the bonus increases to +2. When you use a spell slot of 6th level or higher, the bonus increases to +3."
"Mending","PHB","Cantrip","1 Minute","Instantaneous","Transmutation","Touch","V, S, M (two lodestones)","Artificer, Artificer (Revisited), Bard, Cleric, Druid, Sorcerer, Wizard","This spell repairs a single break or tear in an object you touch, such as broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it, leaving no trace of the former damage.This spell can physically repair a magic item or construct, but the spell can't restore magic to such an object.",""
"Message","PHB","Cantrip","Action","1 round","Transmutation","120 feet","V, S, M (a short piece of copper wire)","Artificer, Artificer (Revisited), Bard, Sorcerer, Wizard","You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear.You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence, 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood blocks the spell. The spell doesn't have to follow a straight line and can travel freely around corners or through openings.",""
"Mordenkainen's Faithful Hound","PHB","4th","Action","8 hours","Conjuration","30 feet","V, S, M (a tiny silver whistle, a piece of bone, and a thread)","Artificer, Artificer, Artificer (Revisited), Wizard","You conjure a phantom watchdog in an unoccupied space that you can see within range, where it remains for the duration, until you dismiss it as an action, or until you move more than 100 feet away from it.The hound is invisible to all creatures except you and can't be harmed. When a Small or larger creature comes within 30 feet of it without first speaking the password that you specify when you cast this spell, the hound starts barking loudly. The hound sees invisible creatures and can see into the Ethereal Plane. It ignores illusions.At the start of each of your turns, the hound attempts to bite one creature within 5 feet of it that is hostile to you. The hound's attack bonus is equal to your spellcasting ability modifier + your proficiency bonus. On a hit, it deals 4d8 piercing damage.",""
"Mordenkainen's Private Sanctum","PHB","4th","10 Minutes","24 hours","Abjuration","120 feet","V, S, M (a thin sheet of lead, a piece of opaque glass, a wad of cotton or cloth, and powdered chrysolite)","Artificer, Artificer, Artificer (Revisited), Wizard","You make an area within range magically secure. The area is a cube that can be as small as 5 feet to as large as 100 feet on each side. The spell lasts for the duration or until you use an action to dismiss it.When you cast the spell, you decide what sort of security the spell provides, choosing any or all of the following properties:Sound can't pass through the barrier at the edge of the warded area.The barrier of the warded area appears dark and foggy, preventing vision (including darkvision) through it.Sensors created by divination spells can't appear inside the protected area or pass through the barrier at its perimeter.Creatures in the area can't be targeted by divination spells.Nothing can teleport into or out of the warded area.Planar travel is blocked within the warded area.Casting this spell on the same spot every day for a year makes this effect permanent.","At Higher Levels. When you cast this spell using a spell slot of 5th level or higher, you can increase the size of the cube by 100 feet for each slot level beyond 4th. Thus you could protect a cube that can be up to 200 feet on one side by using a spell slot of 5th level."
"Otiluke's Resilient Sphere","PHB","4th","Action","Concentration, up to 1 minute","Evocation","30 feet","V, S, M (a hemispherical piece of clear crystal and a matching hemispherical piece of gum arabic)","Artificer, Artificer, Artificer (Revisited), Wizard","A sphere of shimmering force encloses a creature or object of Large size or smaller within range. An unwilling creature must make a Dexterity saving throw. On a failed save, the creature is enclosed for the duration.Nothing—not physical objects, energy, or other spell effects—can pass through the barrier, in or out, though a creature in the sphere can breathe there. The sphere is immune to all damage, and a creature or object inside can't be damaged by attacks or effects originating from outside, nor can a creature inside the sphere damage anything outside it.The sphere is weightless and just large enough to contain the creature or object inside. An enclosed creature can use its action to push against the sphere's walls and thus roll the sphere at up to half the creature's speed. Similarly, the globe can be picked up and moved by other creatures.A disintegrate spell targeting the globe destroys it without harming anything inside it.",""
"Poison Spray","PHB","Cantrip","Action","Instantaneous","Conjuration","10 feet","V, S","Artificer, Artificer (Revisited), Druid, Sorcerer, Warlock, Wizard","You extend your hand toward a creature you can see within range and project a puff of noxious gas from your palm. The creature must succeed on a Constitution saving throw or take 1d12 poison damage.This spell's damage increases by 1d12 when you reach 5th level (2d12), 11th level (3d12), and 17th level (4d12).",""
"Prestidigitation","PHB","Cantrip","Action","Up to 1 hour","Transmutation","10 feet","V, S","Artificer, Artificer (Revisited), Bard, Sorcerer, Warlock, Wizard","This spell is a minor magical trick that novice spellcasters use for practice. You create one of the following magical effects within range:You create an instantaneous, harmless sensory effect, such as a shower of sparks, a puff of wind, faint musical notes, or an odd odor.You instantaneously light or snuff out a candle, a torch, or a small campfire.You instantaneously clean or soil an object no larger than 1 cubic foot.You chill, warm, or flavor up to 1 cubic foot of nonliving material for 1 hour.You make a color, a small mark, or a symbol appear on an object or a surface for 1 hour.You create a nonmagical trinket or an illusory image that can fit in your hand and that lasts until the end of your next turn.If you cast this spell multiple times, you can have up to three of its non-instantaneous effects active at a time, and you can dismiss such an effect as an action.",""
"Protection from Energy","PHB","3rd","Action","Concentration, up to 1 hour","Abjuration","Touch","V, S","Artificer, Artificer, Artificer (Revisited), Cleric, Druid, Ranger, Sorcerer, Wizard","For the duration, the willing creature you touch has resistance to one damage type of your choice: acid, cold, fire, lightning, or thunder.",""
"Protection from Poison","PHB","2nd","Action","1 hour","Abjuration","Touch","V, S","Artificer, Artificer, Artificer (Revisited), Cleric, Druid, Paladin, Ranger","You touch a creature. If it is poisoned, you neutralize the poison. If more than one poison afflicts the target, you neutralize one poison that you know is present, or you neutralize one at random.For the duration, the target has advantage on saving throws against being poisoned, and it has resistance to poison damage.",""
"Purify Food and Drink","PHB","1st","Action","Instantaneous","Transmutation","10 feet","V, S","Artificer, Cleric, Druid, Paladin","All nonmagical food and drink within a 5-foot-radius sphere centered on a point of your choice within range is purified and rendered free of poison and disease.",""
"Pyrotechnics","XGE","2nd","Action","Instantaneous","Transmutation","60 feet","V, S","Artificer, Artificer (Revisited), Bard, Sorcerer, Wizard","Choose an area of nonmagical flame that you can see and that fits within a 5-foot cube within range. You can extinguish the fire in that area, and you create either fireworks or smoke when you do so. Fireworks. The target explodes with a dazzling display of colors. Each creature within 10 feet of the target must succeed on a Constitution saving throw or become blinded until the end of your next turn. Smoke. Thick black smoke spreads out from the target in a 20-foot radius, moving around corners. The area of the smoke is heavily obscured. The smoke persists for 1 minute or until a strong wind disperses it.",""
"Ray of Frost","PHB","Cantrip","Action","Instantaneous","Evocation","60 feet","V, S","Artificer, Artificer (Revisited), Sorcerer, Wizard","A frigid beam of blue-white light streaks toward a creature within range. Make a ranged spell attack against the target. On a hit, it takes 1d8 cold damage, and its speed is reduced by 10 feet until the start of your next turn.The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",""
"Resistance","PHB","Cantrip","Action","Concentration, up to 1 minute","Abjuration","Touch","V, S, M (a miniature cloak)","Artificer, Artificer (Revisited), Cleric, Druid","You touch one willing creature. Once before the spell ends, the target can roll a d4 and add the number rolled to one saving throw of its choice. It can roll the die before or after making the saving throw. The spell then ends.",""
"Revivify","PHB","3rd","Action","Instantaneous","Necromancy","Touch","V, S, M (diamonds worth 300 gp, which the spell consumes)","Artificer, Artificer, Artificer (Revisited), Cleric, Paladin","You touch a creature that has died within the last minute. That creature returns to life with 1 hit point. This spell can't return to life a creature that has died of old age, nor can it restore any missing body parts.",""
"Rope Trick","PHB","2nd","Action","1 hour","Transmutation","Touch","V, S, M (powdered corn extract and a twisted loop of parchment)","Artificer, Artificer, Artificer (Revisited), Wizard","You touch a length of rope that is up to 60 feet long. One end of the rope then rises into the air until the whole rope hangs perpendicular to the ground. At the upper end of the rope, an invisible entrance opens to an extradimensional space that lasts until the spell ends.The extradimensional space can be reached by climbing to the top of the rope. The space can hold as many as eight Medium or smaller creatures. The rope can be pulled into the space, making the rope disappear from view outside the space.Attacks and spells can't cross through the entrance into or out of the extradimensional space, but those inside can see out of it as if through a 3-foot-by-5-foot window centered on the rope.Anything inside the extradimensional space drops out when the spell ends.",""
"Sanctuary","PHB","1st","Bonus acn.","1 minute","Abjuration","30 feet","V, S, M (a small silver mirror)","Artificer, Artificer, Artificer (Revisited), Cleric","You ward a creature within range against attack. Until the spell ends, any creature who targets the warded creature with an attack or a harmful spell must first make a Wisdom saving throw. On a failed save, the creature must choose a new target or lose the attack or spell. This spell doesn't protect the warded creature from area effects, such as the explosion of a fireball.If the warded creature makes an attack, casts a spell that affects an enemy, or deals damage to another creature, this spell ends.",""
"See Invisibility","PHB","2nd","Action","1 hour","Divination","Self","V, S, M (a pinch of Talc and a small sprinkling of powdered silver)","Artificer, Artificer (Revisited), Bard, Sorcerer, Wizard","For the duration, you see invisible creatures and objects as if they were visible, and you can see into the Ethereal Plane. Ethereal creatures and objects appear ghostly and translucent.",""
"Shocking Grasp","PHB","Cantrip","Action","Instantaneous","Evocation","Touch","V, S","Artificer, Artificer (Revisited), Sorcerer, Wizard","Lightning springs from your hand to deliver a shock to a creature you try to touch. Make a melee spell attack against the target. You have advantage on the attack roll if the target is wearing armor made of metal. On a hit, the target takes 1d8 lightning damage, and it can't take reactions until the start of its next turn.The spell's damage increases by 1d8 when you reach 5th level (2d8), 11th level (3d8), and 17th level (4d8).",""
"Skill Empowerment","XGE","5th","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S","Artificer, Artificer (Revisited), Bard, Sorcerer, Wizard","Your magic deepens a creature's understanding of its own talent. You touch one willing creature and give it expertise in one skill of your choice; until the spell ends, the creature doubles its proficiency bonus for ability checks it makes that use the chosen skill.You must choose a skill in which the target is proficient and that isn't already benefiting from an effect, such as Expertise, that doubles its proficiency bonus.",""
"Skywrite","XGE","2nd","Action","Concentration, up to 1 hour","Transmutation","Sight","V, S","Artificer, Artificer (Revisited), Bard, Druid, Wizard","You cause up to ten words to form in a part of the sky you can see. The words appear to be made of cloud and remain in place for the spell's duration. The words dissipate when the spell ends. A strong wind can disperse the clouds and end the spell early.",""
"Snare","XGE","1st","1 Minute","8 hours","Abjuration","Touch","V, S, M (25 feet of rope, which the spell consumes)","Artificer, Artificer (Revisited), Druid, Ranger, Wizard","As you cast this spell, you use the rope to create a circle with a 5-foot radius on the ground or the floor. When you finish casting, the rope disappears and the circle becomes a magic trap.This trap is nearly invisible, requiring a successful Intelligence (Investigation) check against your spell save DC to be discerned.The trap triggers when a Small, Medium, or Large creature moves onto the ground or the floor in the spell's radius. That creature must succeed on a Dexterity saving throw or be magically hoisted into the air, leaving it hanging upside down 3 feet above the ground or the floor. The creature is restrained there until the spell ends.A restrained creature can make a Dexterity saving throw at the end of each of its turns, ending the effect on itself on a success. Alternatively, the creature or someone else who can reach it can use an action to make an Intelligence (Arcana) check against your spell save DC. On a success, the restrained effect ends.After the trap is triggered, the spell ends when no creature is restrained by it.",""
"Spare the Dying","PHB","Cantrip","Action","Instantaneous","Necromancy","Touch","V, S","Artificer, Artificer (Revisited), Cleric","You touch a living creature that has 0 hit points. The creature becomes stable. This spell has no effect on undead or constructs.",""
"Spider Climb","PHB","2nd","Action","Concentration, up to 1 hour","Transmutation","Touch","V, S, M (a drop of bitumen and a spider)","Artificer, Artificer, Artificer (Revisited), Sorcerer, Warlock, Wizard","Until the spell ends, one willing creature you touch gains the ability to move up, down, and across vertical surfaces and upside down along ceilings, while leaving its hands free. The target also gains a climbing speed equal to its walking speed.",""
"Stone Shape","PHB","4th","Action","Instantaneous","Transmutation","Touch","V, S, M (soft clay, which must be worked into roughly the desired shape of the stone object)","Artificer, Artificer, Artificer (Revisited), Cleric, Druid, Wizard","You touch a stone object of Medium size or smaller or a section of stone no more than 5 feet in any dimension and form it into any shape that suits your purpose. So, for example, you could shape a large rock into a weapon, idol, or coffer, or make a small passage through a wall, as long as the wall is less than 5 feet thick. You could also shape a stone door or its frame to seal the door shut. The object you create can have up to two hinges and a latch, but finer mechanical detail isn't possible.",""
"Stoneskin","PHB","4th","Action","Concentration, up to 1 hour","Abjuration","Touch","V, S, M (diamond dust worth 100 gp, which the spell consumes)","Artificer, Artificer, Artificer (Revisited), Druid, Ranger, Sorcerer, Wizard","This spell turns the flesh of a willing creature you touch as hard as stone. Until the spell ends, the target has resistance to nonmagical bludgeoning, piercing, and slashing damage.",""
"Thorn Whip","PHB","Cantrip","Action","Instantaneous","Transmutation","30 feet","V, S, M (the stem of a plant with thorns)","Artificer, Artificer (Revisited), Druid","You create a long, vine-like whip covered in thorns that lashes out at your command toward a creature in range. Make a melee spell attack against the target. If the attack hits, the creature takes 1d6 piercing damage, and if the creature is Large or smaller, you pull the creature up to 10 feet closer to you.This spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",""
"Thunderclap","XGE","Cantrip","Action","Instantaneous","Evocation","5 feet","S","Artificer, Artificer (Revisited), Bard, Druid, Sorcerer, Warlock, Wizard","You create a burst of thunderous sound that can be heard up to 100 feet away. Each creature within range, other than you, must make a Constitution saving throw or take 1d6 thunder damage.The spell's damage increases by 1d6 when you reach 5th level (2d6), 11th level (3d6), and 17th level (4d6).",""
"Tiny Servant","XGE","3rd","1 Minute","8 hours","Transmutation","Touch","V, S","Artificer, Artificer (Revisited), Wizard","You touch one Tiny, nonmagical object that isn't attached to another object or a surface and isn't being carried by another creature. The target animates and sprouts little arms and legs, becoming a creature under your control until the spell ends or the creature drops to 0 hit points. See the stat block for its statistics.As a bonus action, you can mentally command the creature if it is within 120 feet of you. (If you control multiple creatures with this spell, you can command any or all of them at the same time, issuing the same command to each one.) You decide what action the creature will take and where it will move during its next turn, or you can issue a simple, general command, such as to fetch a key, stand watch, or stack some books. If you issue no commands, the servant does nothing other than defend itself against hostile creatures. Once given an order, the servant continues to follow that order until its task is complete.When the creature drops to 0 hit points, it reverts to its original form, and any remaining damage carries over to that form.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, you can animate two additional objects for each slot level above 3rd."
"Transmute Rock","XGE","5th","Action","Until dispelled","Transmutation","120 feet","V, S, M (clay and water)","Artificer, Artificer (Revisited), Druid, Wizard","You choose an area of stone or mud that you can see that fits within a 40-foot cube and is within range, and choose one of the following effects. Transmute Rock to Mud. Nonmagical rock of any sort in the area becomes an equal volume of thick, flowing mud that remains for the spell's duration.The ground in the spell's area becomes muddy enough that creatures can sink into it. Each foot that a creature moves through the mud costs 4 feet of movement, and any creature on the ground when you cast the spell must make a Strength saving throw. A creature must also make the saving throw when it moves into the area for the first time on a turn or ends its turn there. On a failed save, a creature sinks into the mud and is restrained, though it can use an action to end the restrained condition on itself by pulling itself free of the mud.If you cast the spell on a ceiling, the mud falls. Any creature under the mud when it falls must make a Dexterity saving throw. A creature takes 4d8 bludgeoning damage on a failed save, or half as much damage on a successful one. Transmute Mud to Rock. Nonmagical mud or quicksand in the area no more than 10 feet deep transforms into soft stone for the spell's duration. Any creature in the mud when it transforms must make a Dexterity saving throw. On a successful save, a creature is shunted safely to the surface in an unoccupied space. On a failed save, a creature becomes restrained by the rock. A restrained creature, or another creature within reach, can use an action to try to break the rock by succeeding on a DC 20 Strength check or by dealing damage to it. The rock has AC 15 and 25 hit points, and it is immune to poison and psychic damage.",""
"Wall of Stone","PHB","5th","Action","Concentration, up to 10 minutes","Evocation","120 feet","V, S, M (a small block of granite)","Artificer, Artificer (Revisited), Druid, Sorcerer, Wizard","A nonmagical wall of solid stone springs into existence at a point you choose within range. The wall is 6 inches thick and is composed of ten 10-foot-by-10-foot panels. Each panel must be contiguous with at least one other panel. Alternatively, you can create 10-foot-by-20-foot panels that are only 3 inches thick.If the wall cuts through a creature's space when it appears, the creature is pushed to one side of the wall (your choice). If a creature would be surrounded on all sides by the wall (or the wall and another solid surface), that creature can make a Dexterity saving throw. On a success, it can use its reaction to move up to its speed so that it is no longer enclosed by the wall.The wall can have any shape you desire, though it can't occupy the same space as a creature or object. The wall doesn't need to be vertical or rest on any firm foundation. It must, however, merge with and be solidly supported by existing stone. Thus, you can use this spell to bridge a chasm or create a ramp.If you create a span greater than 20 feet in length, you must halve the size of each panel to create supports. You can crudely shape the wall to create crenellations, battlements, and so on.The wall is an object made of stone that can be damaged and thus breached. Each panel has AC 15 and 30 hit points per inch of thickness. Reducing a panel to 0 hit points destroys it and might cause connected panels to collapse at the DM's discretion.If you maintain your concentration on this spell for its whole duration, the wall becomes permanent and can't be dispelled. Otherwise, the wall disappears when the spell ends.",""
"Water Breathing","PHB","3rd","Action","24 hours","Transmutation","30 feet","V, S, M (a short reed or piece of straw)","Artificer, Artificer, Artificer (Revisited), Druid, Ranger, Sorcerer, Wizard","This spell grants up to ten willing creatures you can see within range the ability to breathe underwater until the spell ends. Affected creatures also retain their normal mode of respiration.",""
"Water Walk","PHB","3rd","Action","1 hour","Transmutation","30 feet","V, S, M (a piece of cork)","Artificer, Artificer, Artificer (Revisited), Cleric, Druid, Ranger, Sorcerer","This spell grants the ability to move across any liquid surface—such as water, acid, mud, snow, quicksand, or lava—as if it were harmless solid ground (creatures crossing molten lava can still take damage from the heat). Up to ten willing creatures you can see within range gain this ability for the duration.If you target a creature submerged in a liquid, the spell carries the target to the surface of the liquid at a rate of 60 feet per round.",""
"Web","PHB","2nd","Action","Concentration, up to 1 hour","Conjuration","60 feet","V, S, M (a bit of spiderweb)","Artificer, Sorcerer, Wizard","You conjure a mass of thick, sticky webbing at a point of your choice within range. The webs fill a 20-foot cube from that point for the duration. The webs are difficult terrain and lightly obscure their area.If the webs aren't anchored between two solid masses (such as walls or trees) or layered across a floor, wall, or ceiling, the conjured web collapses on itself, and the spell ends at the start of your next turn. Webs layered over a flat surface have a depth of 5 feet.Each creature that starts its turn in the webs or that enters them during its turn must make a Dexterity saving throw. On a failed save, the creature is restrained as long as it remains in the webs or until it breaks free.A creature restrained by the webs can use its action to make a Strength check against your spell save DC. If it succeeds, it is no longer restrained.The webs are flammable. Any 5-foot cube of webs exposed to fire burns away in 1 round, dealing 2d4 fire damage to any creature that starts its turn in the fire.",""
